Tag #,Equipment,Bench/Floor,Bench Location,QTY,W,D,H,Power (V),Watts,Amps,Generator,Notes,Location,Total Linch,Datasheet URL,Status,Confidence %,Claude Comments
F-11,Flammable Liquid Storage Cabinet - Small,Floor,,1,24,18,,N/A,N/A,N/A,,,Open Lab,,,N/A,100,Furniture (passive flammable-liquid storage cabinet). No power.
F-12,Flammable Liquid Storage Cabinet - Large,Floor,,1,36,18,72,N/A,N/A,N/A,,,Open Lab,,,N/A,100,Furniture (passive flammable-liquid storage cabinet). No power.
F-13,GE Refrigerator -20 degrees,Floor,,1,30,30,,120,575,5.0,Yes,,Open Lab,,https://www.geappliances.com/appliance/GE-20-6-Cu-Ft-Manual-Defrost-Upright-Freezer-FUM21DTRWH,Confirmed,95,"'-20 C Freezer spec sticker.jpg' (GE FUM 21DTBRWH commercial freezer). 115VAC/5.0A/~575W, R134a refrigerant. NOTE: There are TWO 'GE Refrigerator -20' rows in the source list (this one + the one below). The GE sticker is assigned to THIS row. If the other unit is a different model, photograph its nameplate."
F-14,Kenmore Refrigerator 4 degrees,Floor,,1,34,35,64.8,120,575,5.0,Yes,,Open Lab,,https://banebio.com/product/kenmore-single-door-refrigerator-253-60722000/,Confirmed,95,"'4C Fridge spec sticker.jpg' (Sears Roebuck 253.60722000, 115VAC/5.0A/575W). Kenmore is the Sears in-house brand, so the Sears 253.xxx label IS a Kenmore. Standard 4C lab fridge for reagent/sample storage above freezing."
F-15,GE Refrigerator -20 degrees,Floor,,1,32,33,68,120,575,5.0,Yes,,Open Lab,,https://www.geappliances.com/appliance/GE-20-6-Cu-Ft-Manual-Defrost-Upright-Freezer-FUM21DTRWH,Estimate,70,"No separate sticker for this 2nd GE -20 unit. Specs copied from F-13 above (matched GE FUM 21DTBRWH). If this unit is a different GE model, photograph its nameplate. The 'Fridge-Freezer' GE GTS18FBSARWW JPG in your folder is a top-freezer fridge (4C section + freezer section), NOT a dedicated -20 freezer."
F-16,-80 freezer,Floor,,1,44,37,78,120,978,8.5,Yes,,Open Lab,,https://www.thelabworldgroup.com/shop/freezers/freezer-80-lab-freezer/thermo-tsx-series-ult-freezer-tsx60086a/,Confirmed,95,"Thermo TSX60086A PDF datasheet (you provided). 115V/60Hz/8.5A, watts = 115 x 8.5 = 978W. Temp range -40 to -86C. A -80C freezer stores long-term biological samples - usually the biggest single power draw in a lab."
F-17,Chest Freezer,Floor,,1,28.8,24,32,,195,1.69,Yes,,Open Lab,,https://americanlaboratorytrading.com/lab-equipment-products/ge-5-0-cu-ft-manual-defrost-chest-freezer-model-fcm5drbwh-17416/,Confirmed,95,"'-20 Chest freezer spec sticker.jpg' (GE FCM5DRBWH). 115V/60Hz/1.69A/~195W, 5 cu.ft, R134a. Chest freezers are top-loading and more energy-efficient than upright since cold air sinks and stays inside when opened."
F-18,Shelves,Floor,,2,36,12,78,N/A,N/A,N/A,,,Open Lab,,,N/A,100,Furniture (storage shelves). No power.
F-19,Cabinet Black,Floor,,2,39,22,69,N/A,N/A,N/A,,,Open Lab,,,N/A,100,Furniture (storage cabinet). No power.
F-20,8' Bench,Floor,,5,96,36,36,N/A,N/A,N/A,,,Open Lab,,,N/A,100,Furniture (lab bench). No power.
F-21,Black Cart,Floor,,2,36,24,36,N/A,N/A,N/A,,,Open Lab,,,N/A,100,Furniture (rolling cart). No power.
F-22,Chemical fume hood,Floor,,1,,,,120,,,,Not purchased yet. 4 ft or 6 ft W. ,Open Lab,,https://www.labconco.com/product/protector-xstream-laboratory-fume-hoods-115v-208v-220v-or-230v-50-60-hz-/8005,Confirmed,80,"Labconco Protector XStream PDF (you provided, marked 'not purchased yet'). 115V/60Hz, available in 4/5/6/8 ft widths. Amps depend on width and blower config (typical 4-8A). Specific number can't be filled until you pick a model. A chemical fume hood vents toxic vapors safely outdoors."
F-23,STORAGE,Floor,,2,48,24,,N/A,N/A,N/A,,,Inventory,,,N/A,100,Furniture (storage shelving). No power.
F-24,Storage Shelves,Floor,,2,48,18,,N/A,N/A,N/A,,,Inventory,,,N/A,100,Furniture (storage shelves). No power.
F-25,Storage Shelves,Floor,,3,36,24,,N/A,N/A,N/A,,,Inventory,,,N/A,100,Furniture (storage shelves). No power.
F-26,Storage Shelves,Floor,,1,24,20,33,N/A,N/A,N/A,,,Inventory,,,N/A,100,Furniture (storage shelves). No power.
F-27,White trolly,Floor,,1,36,24,,N/A,N/A,N/A,,,Office,,,N/A,100,Furniture (rolling trolley). No power.
F-28,Filing Cabinet,Floor,,1,,,,N/A,N/A,N/A,,,Open Lab,,,N/A,100,Furniture (filing cabinet). No power.
E-120,additional storage in offices,,,1,,,,N/A,N/A,N/A,,,Open Lab,,,N/A,100,Furniture / office storage. No power.
E-121,BENCH EQUIPMENT NOT SHOWN ON PLANS,Bench,,1,17,25,13,N/A,N/A,N/A,,Status: Running; Temperature Controlled,Open Lab,,,N/A,100,Section header in the source spreadsheet (not actual equipment). Kept as a placeholder for visual grouping; you can delete the row entirely if you prefer.
E-122,Eppendorf Centrifuge 5702 R,Bench,New fixed counter,1,11,14,10,120,380,3.2,,Status: Running,Open Lab,,https://www.eppendorf.com/lt-en/Products/Centrifugation/Multipurpose-Centrifuges/Centrifuge-5702-5702R-5702RH-p-PF-240992,Confirmed,90,Eppendorf product page lists max 380W for the 5702 R model. At 120V (US version) that's ~3.2A. The 'R' = refrigerated; the cooling system is what bumps power vs the non-R 5702 (~165W). A benchtop centrifuge spins tubes at high speed to separate by density.
E-123,Labnet Spectrafuge 24D,Bench,F-16,1,11,14,10,120,210,1.75,,Status: Running,Open Lab,,https://www.labnetinternational.com/products/laboratory-centrifuges/micro-and-refrigerated-microcentrifuges/spectrafuge-24d-digital-lab,Confirmed,90,"Labnet product page lists 210W. At 120V (US version) that's ~1.75A. Max speed 13,300 rpm, holds 24 x 1.5/2.0mL tubes. A microcentrifuge spins small Eppendorf tubes very fast for DNA/RNA prep, sample concentration, etc."
E-124,Labnet Spectrafuge 24D,Bench,F-16,1,7,11,13,120,210,1.75,,Status: Unknown,Open Lab,,https://www.labnetinternational.com/products/laboratory-centrifuges/micro-and-refrigerated-microcentrifuges/spectrafuge-24d-digital-lab,Confirmed,90,Same model as above (second Spectrafuge 24D unit). 120V/1.75A/210W.
E-125,Denver Instrument Ultra-basic PH meter,Bench,F-16,1,11,16,10,120,12,0.1,,Status: Running,Open Lab,,https://www.coleparmer.com/i/denver-instrument-9342-1-ub-10-bio-kit-115-vac/5950320,Estimate,60,"Denver Instrument UltraBasic UB-10 pH meter. Search confirms it ships with a 115VAC AC adapter (or alternately 12VDC), but exact AC wattage isn't on the spec sheet. These are tiny instruments - typical AC draw ~10-15W (~0.1A). Photograph the AC adapter brick for exact rating."
E-126,Applied Biosystem Geneamb PCR system 2700,Bench,F-16,1,11,16,10,120,420,3.5,,Status: Running,Open Lab,,https://www.labx.com/product/applied-biosystems-geneamp-pcr-system-2700,Confirmed,95,"'PCR system.png' sticker. Applied Biosystems GeneAmp PCR System 2700, Part 4322620. 100-240VAC, 50/60Hz, Max Power 420 VA. Operating amps at 120V = 420/120 = 3.5A. (The 8A on the sticker is the FUSE rating, not operating current.) PCR amplifies DNA via temperature cycling."
E-127,Applied Biosystem Geneamb PCR system 2720,Bench,F-16,1,11,13,7,120,420,3.5,,Status: Running,Open Lab,,https://www.thermofisher.com/order/catalog/product/4359659,Confirmed,95,"'Thermal cycler.png' sticker. Applied Biosystems 2720 Thermal Cycler, Part 4359669, MFG Aug 2011. 100-240VAC, 50/60Hz, Max Power 420 VA. Operating amps at 120V = 3.5A. (The 8A on the sticker is the FUSE rating, not operating current.) Same family as the 2700, newer revision."
E-128,Labnet Orbit P2 Shaker,Bench,F-16,1,11,6,7,120,52,0.45,,Status: Running,Open Lab,,https://www.amazon.com/Labnet-International-S2020-P2-B-Platform-Microplate/dp/B01HK2AP82,Confirmed,95,'Shaker.png' sticker. Labnet ORBIT P2 (Ser. 10022118). 115V/50-60Hz/0.45A. Watts = 115 x 0.45 = 52W. An orbital shaker swirls flasks/plates in a circle to mix liquids or aerate cell cultures.
E-129,Labquake Rotater,Bench,F-16,1,13,11,17,120,25,0.21,,Status: Unknown,Open Lab,,https://americanlaboratorytrading.com/lab-equipment-products/barnstead-thermolyne-labquake-shaker-rotator-model-415110-10642/,Estimate,60,"Likely Barnstead/Thermolyne Labquake Shaker/Rotator Model 415110. Search confirms 120V but amps not in any datasheet I found - this is an OLD piece of gear. Class-typical for a tube rotator: small 8-rpm motor, ~25W/0.2A. A rotator tilts tubes end-over-end for gentle mixing."
E-130,Fischer Scientific Isotemp 202 Waterbath,Bench,F-16,1,6,6,,120,600,5,,Status: Running,Open Lab,,https://www.marshallscientific.com/Fisher-Scientific-Isotemp-202-Digital-Water-Bath-p/fs-202.htm,Estimate,65,Fisher Isotemp 202 (Catalog 15-462-2 for 120V version). Search confirms 120V but exact amps not found in product pages. Class-typical for a 2L digital water bath with ~250W heater is ~5A/600W when actively heating. NOTE: I previously matched a 'Fisher Scientific.png' sticker showing Model 231 (115V/0.8A) - that may be a DIFFERENT Fisher waterbath in the lab; confirm which is which by checking the model number on each unit.
E-131,Phenix Quickspin Benchtop Microcentrifuge,Bench,F-16,1,6,6,,120,12,0.1,,Status: Running,Open Lab,,https://americanlaboratorytrading.com/lab-equipment-products/phenix-quickspin-micro-centrifuge-model-sd-10633/,Estimate,70,"Phenix Quickspin Model SD or DW-41S-115. Spec searches show 6,000 rpm, 1.5 lbs, but the manufacturer doesn't publish electrical specs. Class-typical mini centrifuge: ~12W/0.1A. The '22487.png' Sprout sticker (Heathrow Scientific) showed exactly those numbers (110-120V/0.1A) - the Phenix Quickspin is essentially the same physical unit re-branded."
E-132,Phenix Quickspin Benchtop Microcentrifuge,Bench,F-16,1,11,13,7,120,12,0.1,,Status: Running,Open Lab,,https://americanlaboratorytrading.com/lab-equipment-products/phenix-quickspin-micro-centrifuge-model-sd-10633/,Estimate,70,Same model as above (second Phenix Quickspin unit). ~120V/0.1A/12W.
E-133,Benchmark Heatblock,Bench,F-16,1,10,6,12,120,50,0.42,,Status: Running,Open Lab,,https://www.benchmarkscientific.com/product/bsh200/,Confirmed,90,"Likely Benchmark Scientific BSH200 MyBlock Mini Dry Bath. Universal voltage 100-240V/50-60Hz/50W. At 120V that's ~0.42A. A heatblock holds tubes in an aluminum block at a set temperature - used to incubate enzyme reactions at 37C, denature proteins at 95C, etc."
E-134,Labnet Benchtop Rotator,Bench,F-16,1,6,6,6,120,48,0.4,,Status: Running,Open Lab,,https://www.labnetinternational.com/products/agitation-equipment/rocking-platforms/rocker-35-ez-large-capacity-lab-rocker,Confirmed,95,'Labnet.png' sticker. Labnet S2035 (Ser. 12M0330D). 120V/0.4A/60Hz. Watts = 120 x 0.4 = 48W. Slowly rotates tubes for gentle mixing.
E-135,Vortexer V-32 Benchtop Vortex,Bench,New fixed counter,1,6,6,,120,173,1.5,,Status: Running,Open Lab,,https://www.grantinstruments.com/products/v-32-vortex-mixer,Estimate,65,"'Vortexer V-32' is the Grant Instruments V-32 vortex mixer (also sold as Thomas Scientific Vortexer V-32). 115V (US version), but exact amps not on the product pages. Class-typical vortex mixer with 500-3,000 rpm motor: ~115V/1.5A/~170W. The Benchmark BV1000 sticker (115V/1.5A) is a DIFFERENT brand vortex - similar specs though. Photograph this V-32's nameplate to confirm."
E-136,Quinnspin Benchtop Microcentrifuge,Bench,F-16,1,16,16,9,120,12,0.1,,Status: Running,Open Lab,,,Estimate,50,'Quinnspin' isn't a standard brand - probably a typo for 'Quikspin' / 'Quickspin'. Likely the same physical unit class as the Phenix Quickspin / Heathrow Sprout (110-120V/0.1A/~12W). Photograph the actual unit's nameplate to confirm brand and model.
E-137,Labnet Rocker 35 (Large),Bench,F-16,1,14,16,6,120,50,0.42,,Status: Running,Open Lab,,https://www.labnetinternational.com/products/agitation-equipment/rocking-platforms/rocker-35-ez-large-capacity-lab-rocker,Estimate,65,Labnet Rocker 35 EZ (Model S2035-DE or S2035-E). Manufacturer page confirms 120V but amps not listed. Class-typical platform rocker: 120V/0.4A/50W. A rocker gently sways a platform back and forth (like a slow see-saw) - used to wash blots and gels.
E-138,Benchmark Orbishaker,Bench,F-16,1,15,13,17,120,250,2.1,,Status: Running,Open Lab,,https://www.benchmarkscientific.com/product/bt302-orbi-shaker-jr/,Estimate,60,'Benchmark Orbishaker' is likely the Benchmark Scientific Orbi-Shaker JR (BT302) at 100-240V/250W (~2.1A at 120V). The full-size BT3000 model would be 600W/5.22A - so spec depends on which exact model you have. Photograph to confirm. An orbital shaker swirls plates/flasks in a circle to mix or aerate cell cultures.
E-139,Accuris UV Transilluminator,Bench,F-16,1,,,,120,60,0.5,,Status: Running,Open Lab,,https://www.accuris-usa.com/products/UV-Transilluminator-E3000,Estimate,75,'Accuris.png' sticker shows Model E3000 / 110-120VAC/60Hz. Amps NOT on the label. Class-typical for a UV transilluminator with ~6 UV bulbs: 60W/0.5A. A UV transilluminator shines UV light through a gel from below to make DNA bands (stained with EtBr or SYBR) visible.
E-140,Biorad Powerpac HC Power Supply (Medium),Bench,F-16,1,,,,120,400,3.3,,Status: Running,Open Lab,,https://www.bio-rad.com/en-us/product/powerpac-hc-high-current-power-supply?ID=65e1d658-c899-4011-a7eb-406797c3c9e8,Confirmed,95,"'Biorad.png' sticker. Bio-Rad PowerPac HC, Model 04588. 100-120/220-240VAC, 50/60Hz, Max Power 400 VA. Operating amps at 120V = 400/120 = 3.3A. (4A on the sticker is the rating at 100V input; the 1.5A FA on the sticker is the fuse type/rating, not operating current.) A power supply applies voltage to a gel tank to push DNA/proteins through the gel."
E-141,Biorad Powerpac HC Power Supply (Small),Bench,F-16,1,,,,120,400,3.3,,Status: Unknown,Open Lab,,https://www.bio-rad.com/en-us/product/powerpac-hc-high-current-power-supply?ID=65e1d658-c899-4011-a7eb-406797c3c9e8,Confirmed,95,Same model as above (second PowerPac HC unit). 400 VA at the wall = 3.3A at 120V.
E-142,Walter Electrophoresis Agarose Unit,Bench,F-16,1,11,11,11,N/A,N/A,N/A,,Status: Unknown,Open Lab,,,N/A,100,Passive gel-electrophoresis tank (no internal electronics). Power comes from the external power supply (Bio-Rad PowerPac etc.) plugged into it. Tank itself is just plastic + electrodes.
E-143,Whatman V16-2 Standard (Small) Vertical Gel Electrophoresis,Bench,F-16,1,13,12,13,N/A,N/A,N/A,,Status: Unknown (old),Open Lab,,,N/A,100,Passive vertical gel tank. Power comes from external power supply.
E-144,Hoefer Scientific Intruments Power Supply,Bench,F-16,1,13,12,13,120,173,1.5,,Status: Unknown (old),Open Lab,,https://americanlaboratorytrading.com/lab-equipment-products/hoefer-scientific-ps500xt-dc-power-supply-7013/,Confirmed,95,'Hoefer scientific.png' sticker. Hoefer PS500XT power supply. 115V/60Hz/1.5A. Output 500V max @ 0.5A (300W to the gel). Watts at the wall = ~173W. Drives gel electrophoresis.
E-145,Hoefer Scientific Intruments Power Supply,Bench,F-16,1,,,,120,173,1.5,,Status: Unknown,Open Lab,,https://americanlaboratorytrading.com/lab-equipment-products/hoefer-scientific-ps500xt-dc-power-supply-7013/,Confirmed,95,Same model as above (second Hoefer PS500XT unit). 115V/1.5A/173W.
E-146,Xcell SureLock SDS Vertical Electrophoresis System,Bench,F-16,1,,,,N/A,N/A,N/A,,Status: Unknown,Open Lab,,,N/A,100,Passive vertical SDS-PAGE tank. Power comes from external supply.
E-147,Hoefer Horizontal Agarose Electrophoresis Unit,Bench,F-16,1,,,,N/A,N/A,N/A,,Status: Unknown,Open Lab,,,N/A,100,Passive horizontal agarose tank. Power comes from external supply.
E-148,Novex Life Technologies SDS Vertical Electrophoresis System,Bench,F-16,1,,,,N/A,N/A,N/A,,Status: Unknown,Open Lab,,,N/A,100,Passive vertical gel tank. Power comes from external supply.
E-149,Novex Life Technologies SDS Vertical Electrophoresis System,Bench,F-16,1,11,15,16,N/A,N/A,N/A,,Status: Running,Open Lab,,,N/A,100,Passive vertical gel tank. Power comes from external supply.
E-150,Aeadam Wingbalance Scale (mg),Bench,F-16,1,12,12,6,120,10,0.08,,Status: Running,Open Lab,,https://www.adamequipment.com/eclipse-balances,Confirmed,90,"'Adam equipment 2.png' sticker. Adam Equipment EBL 214i analytical balance, 0.0001 g resolution / 210 g max. Runs on small DC adapter (~10W at the wall). For weighing reagents to 0.1mg precision."
E-151,Aeadam Wingbalance Scale (g),Bench,F-16,1,25,19,15,120,10,0.08,,Status: Running,Open Lab,,https://www.adamequipment.com/lbk-bench-scales,Confirmed,90,"'Adam equipment.png' sticker. Adam LBK 12a compact bench scale (12 kg max, 1g resolution). Runs on rechargeable battery; AC adapter draws ~10W when charging. For bulk weighing in grams."
E-152,Sharp Carousel Microwave,Bench,F-16,1,9,18,13,120,1600,13.5,,Status: Unknown,Open Lab,,https://www.amazon.com/SHARP-R410LW/dp/B00192B23W,Confirmed,95,"Sharp R-410LW microwave. 120V/60Hz, input 1600W / 13.5A, output 1100W of microwave energy. Used to melt agarose gel solution, warm reagents, etc. WARNING: 13.5A is most of a 15A circuit's capacity - don't share the outlet with another high-draw device."
E-153,Agilent 2100 Bioanalyzer,Bench,F-16,1,11,18,11,120,80,0.7,,Status: Unknown,Open Lab,,https://www.agilent.com/en/product/automated-electrophoresis/bioanalyzer-systems/bioanalyzer-instrument/2100-bioanalyzer-instrument-228250,Confirmed,95,"'Agilent.png' sticker. Agilent (Caliper) 2100 Bioanalyzer, P/N G2939A. 100-240V, Max 80VA, Fuse T1A. Watts ~80, amps at 120V ~0.67. Bioanalyzer is a chip-based capillary electrophoresis instrument for DNA/RNA/protein QC."
E-154,Bio-Tek PowerWave HT,Bench,F-16,1,18,19,9,120,150,1.25,,Status: Unknown,Open Lab,,https://www.biotek.com/products/detection-microplate-readers/powerwave-ht-microplate-spectrophotometer/,Estimate,70,"'158018.png' sticker (Bio-Tek serial 158018, FCC compliance only - electrical specs NOT on this label). MFR product page confirms 100-240VAC/50-60Hz but doesn't list watts. Class-typical microplate reader with xenon flash lamp: ~150W/1.25A at 120V. Reads absorbance in 96- or 384-well plates (e.g. ELISA, BCA)."
E-155,Tecan Spe Spectra Fluor Plus,Bench,F-16,1,,,,120,150,1.25,,,Open Lab,,https://www.artisantg.com/Scientific/83693-1/Tecan-SPECTRAFluor-Plus-Microplate-Reader,Estimate,50,Tecan SpectraFluor Plus. No sticker; manufacturer documentation pages I checked don't list electrical specs. Class-typical multi-mode (fluorescence + absorbance + luminescence) plate reader: ~150W/1.25A at 120V. Photograph the rear nameplate for exact figure.
E-156,Vacuum aspiration system (inside BSC),Bench,F-01,1,23,13,,120,120,1,,,Open Lab,,,Estimate,50,"Vacuum aspiration system = a small diaphragm pump + flask/trap. Common lab pump (e.g. Vacuubrand BVC, Welch 2522): 120V/1A/~120W. Photograph the actual pump's nameplate. Used inside biosafety cabinets to remove media/supernatant from cell culture dishes."
E-157,Nanodrop 2000 sprectrophotome with laptop,Bench,F-16,1,,,,,65,0.54,,,Open Lab,,https://www.thermofisher.com/order/catalog/product/ND-2000,Estimate,70,Nanodrop 2000 itself is USB-powered from the laptop (no own AC). The AC draw is from the LAPTOP charging adapter (~65W typical Dell/HP brick). Photograph the laptop's adapter for exact rating. Nanodrop measures DNA/RNA/protein concentration on a 1 microliter droplet.
