Inventory Code,Item,Current On Hand,CAS #,IFC Hazard Class,Physical State,HMIS Qty,HMIS Units,NFPA (H/F/R/Spec),Primary Chemical Name,Storage Code,Classification Notes,Inventory Link
C-014,SimplyBlue Safe Stain,1L,64-17-5; 5949-29-1,F1B,L,0.2642,GA,2/3/0/-; 1/1/0/-,Ethanol (Ethyl Alcohol) absolute,M/1/4,[CAS 64-17-5] Flash 55°F | [CAS 5949-29-1] Weak organic acid,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/465044_MTR-NALT_EN.pdf
C-015,SimplyBlue SafeStain 1L,1L,64-17-5; 5949-29-1,F1B,L,0.2642,GA,2/3/0/-; 1/1/0/-,Ethanol (Ethyl Alcohol) absolute,M/1/4,[CAS 64-17-5] Flash 55°F | [CAS 5949-29-1] Weak organic acid,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/465044_MTR-NALT_EN.pdf
C-016,"APTMS 97%, stock",5 mL,13822-56-5,"F1C, COR",L,0.0013,GA,3/2/1/-,APTMS (3-aminopropyltrimethoxysilane),M/1/4,[CAS 13822-56-5] Flash 80°F=Class IC flammable; also corrosive,https://www.sigmaaldrich.com/US/en/sds/aldrich/281778?userType=anonymous
C-017,Coomassie Plus Protien Assay Reagent 950ml,1L,7664-38-2; 67-56-1,"COR, F1B, TOX",L,0.2642,GA,3/0/0/-; 1/3/0/-,Phosphoric Acid (component),M/1/4,[CAS 7664-38-2] Component of Coomassie reagent | [CAS 67-56-1] Flash 52°F; acute systemic toxin,https://www.sigmaaldrich.com/US/en/sds/sigma/27813?userType=anonymous
C-018,Nitric Acid 70%,1 gallon,7697-37-2,"COR, OX2",L,1,GA,3/0/0/OX,Nitric Acid 70%,N/1/4,[CAS 7697-37-2] >40% HNO3 = Oxidizer Class 2 per HFC App E,https://www.sigmaaldrich.com/US/en/sds/mm/1.93006?userType=anonymous
C-019,4M Imidazole Stock Solution 5ml,100 mL,7732-18-5; 288-32-4; 7647-01-0,COR,L,0.0264,GA,0/0/0/-; 2/1/0/-; 3/0/1/-,Water,M/1/4,[CAS 7732-18-5] Water | [CAS 288-32-4] Only as component of dilute buffer | [CAS 7647-01-0] Concentrated HCl is Corrosive,https://www.fishersci.com/store/msds?partNumber=AAJ67055AE&productDescription=IMIDAZOLE+.2M+BUFR+SOLN.+100ML&vendorId=VN00024248&countryCode=US&language=en
C-020,Clorox Performance Bleach,1 gallon,7681-52-9,COR,L,1,GA,2/0/1/-,Sodium Hypochlorite (bleach ~7.5%),N/1/4,[CAS 7681-52-9] Clorox Performance ~7.5% NaOCl - corrosive; not an NFPA oxidizer at consumer concentration,https://www.thecloroxcompany.com/wp-content/uploads/2020/03/Clorox%C2%AE-Performance-Bleach1.pdf
C-021,EZ-link activated peroxidase,10 mL,141-43-5,COR,L,0.0026,GA,3/2/0/-,Ethanolamine (component),M/1/4,[CAS 141-43-5] Only as solution component,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/1856079_MTR-NALT_EN.pdf
C-022,Hydrochloric Acid,100 mL,7647-01-0,COR,L,0.0264,GA,3/0/1/-,Hydrochloric Acid ~37%,M/1/4,[CAS 7647-01-0] Concentrated HCl is Corrosive,https://www.sigmaaldrich.com/US/en/sds/sigald/258148?userType=anonymous
C-023,ProClin 300,50 mL + 500 mL ×3,55965-84-9,"TOX, COR",L,0.4095,GA,3/2/1/-,ProClin 300 (CMIT/MIT mixture),M/1/4,[CAS 55965-84-9] Concentrated preservative; acute toxic + corrosive; handle neat carefully,https://www.sigmaaldrich.com/US/en/sds/sial/48914-u?userType=anonymous
C-024,Sodium hydroxide,500g,1310-73-2,COR,S,1.1023,LB,3/0/1/-,Sodium Hydroxide,N/1/4,[CAS 1310-73-2] Corrosive solid,https://www.sigmaaldrich.com/US/en/sds/sigald/221465?userType=anonymous
C-025,Tris(2-carboxyethyl) phosphine hydrochloride,1 mL + 10 mL (10×1 mL),51805-45-9,COR,S/L,0.0029,GA,3/1/0/-,TCEP hydrochloride,M/1/4,[CAS 51805-45-9] Skin/eye burns per SDS,https://www.fishersci.com/store/msds?partNumber=AC363830010&productDescription=TRIS%282-CARBOXYETHYL%29PHOSP+1GR&vendorId=VN00032119&countryCode=US&language=en
C-026,Tris(2-carboxyethyl) phosphine hydrochloride solution TCEP,1 mL + 10 mL (10×1 mL),51805-45-9,COR,L,0.0029,GA,3/1/0/-,TCEP hydrochloride,M/1/4,[CAS 51805-45-9] Skin/eye burns per SDS,https://www.sigmaaldrich.com/US/en/sds/aldrich/c4706?userType=anonymous
C-027,pH standard pH 10,250 mL,1330-43-4; 1310-73-2; 7732-18-5,COR,L,0.066,GA,1/0/0/-; 3/0/1/-; 0/0/0/-,Sodium Tetraborate (anhy),M/1/4,[CAS 1330-43-4] Reprotoxicant (GHS) but not IFC class | [CAS 1310-73-2] Corrosive solid | [CAS 7732-18-5] Water | TRACE: hazard is from ppm-level preservative/solvent in commercial kit - excluded from MAQ aggregation,https://www.chemsupply.com.au/uploads/sds/0116.pdf
C-028,pH standard pH 7,250 mL,7732-18-5; 7778-77-0; 1310-73-2; 1934-21-0,COR,L,0.066,GA,0/0/0/-; 1/0/0/-; 3/0/1/-; 1/0/0/-,Water,M/1/4,[CAS 7732-18-5] Water | [CAS 7778-77-0] Buffer | [CAS 1310-73-2] Corrosive solid | [CAS 1934-21-0] Dye in pH standards | TRACE: hazard is from ppm-level preservative/solvent in commercial kit - excluded from MAQ aggregation,https://www.fishersci.com/store/msds?partNumber=AC611065000&productDescription=BUFFER+SOLUTION%2C+PH+7.00+500ML&vendorId=VN00033901&countryCode=US&language=en
C-029,1-(3-Chlorophenyl)piperazine hydrochloride,5g + 5g,65369-76-8,TOX,S,0.022,LB,2/1/0/-,1-(3-Chlorophenyl)piperazine HCl,N/1/4,"[CAS 65369-76-8] Research chemical, acute tox Cat 4",https://www.sigmaaldrich.com/US/en/sds/aldrich/125180?userType=anonymous
C-030,Albuterol 500 mg,500 mg,51022-70-9,TOX,S,0.0011,LB,2/0/0/-,Albuterol sulfate,N/1/4,"[CAS 51022-70-9] Beta-agonist drug, classify Toxic",https://www.spectrumchemical.com/media/sds/AL156_AGHS.pdf?srsltid=AfmBOoqvl3URf_g6blJdtZJFCHMAdBjjXA2AdZ1QEUS2BSvZSGjIEl75
C-031,N-(3-Dimethylaminopropyl)-N'-ethylcarbodiiide hydrochloride,500 mg,25952-53-8,TOX,S,0.0011,LB,2/1/0/-,EDC hydrochloride,N/1/4,"[CAS 25952-53-8] Coupling reagent, skin/eye irritant, Cat 4 acute tox",https://www.fishersci.com/store/msds?partNumber=AC171440100&productDescription=1-3-DIMETHYLAMINOPROPYL+10GR&vendorId=VN00032119&countryCode=US&language=en
C-032,N-(3-Dimethylaminopropyl)-N'-ethylcarbodiimide hydrochloride,500 mg,1892-57-5,TOX,L,0.0002,GA,2/1/0/-,EDC free base,M/1/4,"[CAS 1892-57-5] Same compound, free base form",https://www.sigmaaldrich.com/US/en/sds/aldrich/39391?userType=anonymous
C-033,N-isopropylacrylamide,10g,2210-25-5,TOX,S,0.022,LB,2/1/0/-,N-Isopropylacrylamide (NIPAM),N/1/4,[CAS 2210-25-5] Acute Tox 3 (oral); classify Toxic,https://www.fishersci.com/store/msds?partNumber=AC412780025&countryCode=US&language=en
C-034,Oxalic Acid,5g,144-62-7,TOX,S,0.011,LB,3/1/0/-,Oxalic Acid,N/1/4,[CAS 144-62-7] Acute Tox Cat 4; classify as Toxic,https://www.fishersci.com/store/msds?partNumber=AC186432500&productDescription=OXALIC+ACID+ANHYDROUS+250GR&vendorId=VN00032119&countryCode=US&language=en
C-035,Pipamperone dihydrochloride,100 mg,2448-68-2,TOX,S,0.0002,LB,2/0/0/-,Pipamperone dihydrochloride,N/1/4,[CAS 2448-68-2] Antipsychotic drug,https://www.sigmaaldrich.com/US/en/sds/sigma/p3246?userType=anonymous
C-036,Quinidine,5g,56-54-2,TOX,S,0.011,LB,2/1/0/-,Quinidine,N/1/4,[CAS 56-54-2] Antiarrhythmic,https://www.fishersci.com/store/msds?partNumber=AC163680250&countryCode=US&language=en
C-037,Quinine,10g,130-95-0,TOX,S,0.022,LB,2/1/0/-,Quinine,N/1/4,"[CAS 130-95-0] Alkaloid, acute tox Cat 4",https://www.fishersci.com/store/msds?partNumber=AC163700100&productDescription=QUININE%2C+ANHYDROUS%2C+99%25+10GR&vendorId=VN00032119&countryCode=US&language=en
C-038,pH standard pH 4,250 mL,7732-18-5; 877-24-7; 50-00-0; 67-56-1; 16423-68-0,"TOX, F1B",L,0.066,GA,0/0/0/-; 1/0/0/-; 3/2/0/-; 1/3/0/-; 1/0/0/-,Water,M/1/4,[CAS 7732-18-5] Water | [CAS 877-24-7] pH buffer standard | [CAS 50-00-0] Only in trace preservative amounts in pH 4 buffer (<0.1%); not IFC-regulated at that level | [CAS 67-56-1] Flash 52°F; acute systemic toxin | [CAS 16423-68-0] Dye in pH standards | TRACE: hazard is from ppm-level preservative/solvent in commercial kit - excluded from MAQ aggregation,https://www.fishersci.com/store/msds?partNumber=AC611045000&productDescription=BUFFER+SOLUTION%2C+PH+4.00+500ML&vendorId=VN00033901&countryCode=US&language=en
C-039,Tetraethyl Orthosilicate,500 mL,78-10-4,CL2,L,0.1321,GA,2/2/1/-,Tetraethyl Orthosilicate (TEOS),M/1/4,[CAS 78-10-4] Flash 113°F = Class II combustible liquid,https://www.fishersci.com/store/msds?partNumber=AC157812500&productDescription=TETRAETHYL+ORTHOSILICATE+250ML&vendorId=VN00032119&countryCode=US&language=en
C-040,Dimethyl Sulfoxide,100 mL,67-68-5,C3A,L,0.0264,GA,1/2/0/-,Dimethyl Sulfoxide (DMSO),M/1/4,[CAS 67-68-5] Flash 190°F; enhances skin absorption of other chemicals,https://www.fishersci.com/store/msds?partNumber=D1391&productDescription=DIMETHYL+SULFOXIDE+GC+HS+1L&vendorId=VN00033897&countryCode=US&language=en
C-041,NanoOrange protien quantification reagent 1ml,50 mL,67-68-5,C3A,L,0.0132,GA,1/2/0/-,Dimethyl Sulfoxide (DMSO),M/1/4,[CAS 67-68-5] Flash 190°F; enhances skin absorption of other chemicals | TRACE: hazard is from ppm-level preservative/solvent in commercial kit - excluded from MAQ aggregation,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/N10271COMPONENTA_MTR-NALT_EN.pdf
C-042,Glycerol,1L + 500 mL,56-81-5,C3B,L,0.3963,GA,1/1/0/-,Glycerol,M/1/4,[CAS 56-81-5] Flash 320°F = Class IIIB combustible (very low fire hazard at room temp),https://www.sigmaaldrich.com/US/en/sds/sigma/g5516?userType=anonymous
C-043,(-)-Riboflavin,25g,83-88-5,NR,S,0.0551,LB,1/1/0/-,Riboflavin (Vitamin B2),,[CAS 83-88-5] Vitamin,https://www.sigmaaldrich.com/US/en/sds/sigma/r9504?userType=anonymous
C-044,"1,6-Hexanediol diacrylate",100g,13048-33-4,NR,L,0.0259,GA,2/1/1/-,"1,6-Hexanediol Diacrylate",,"[CAS 13048-33-4] Skin sensitizer, irritant; not IFC hazard class at small scale",https://www.fishersci.com/store/msds?partNumber=AA4320318&productDescription=16-HXANEDIOL+DIACRYLATE+99+50G&vendorId=VN00024248&countryCode=US&language=en
C-045,1.0 ml Sucrose/ NaCl,1 mL,,NR,L,0.0003,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://www.edvotek.com/site/pdf/281_SDS.pdf?srsltid=AfmBOoqNkMSnU5s4zljeZH5uYLNYtwh0BIhCWsHSOL3BjMJtP9ttl6No
C-046,1.4-Dithiothreitol 2 grams,2g,3483-12-3,NR,S,0.0044,LB,2/1/0/-,DTT (dithiothreitol),,[CAS 3483-12-3] Irritant only,https://www.carlroth.com/medias/SDB-6908-IE-EN.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyNTA0MTl8YXBwbGljYXRpb24vcGRmfGFEVTJMMmhqTnk4NU1UYzVPVFU0TVRneE9URTRMMU5FUWw4Mk9UQTRYMGxGWDBWT0xuQmtaZ3wwNDQyOGRmNGE3YTVkNTZiM2RjMmZjZTc4OTVkMTRjZGZkM2IyYmYxNWM2MTk4OWY4N2M2ZTg4MzViOWNhZjVm
C-047,10X Tris/Glycine/SDS Buffer,1L,151-21-3,NR,L,0.2642,GA,2/1/0/-,Sodium Dodecyl Sulfate (SDS) component,,[CAS 151-21-3] In 10X dilute buffer; irritant only at working conc,https://bio-rad-sds.thewercs.com/DirectDocumentDownloader/Document?prd=HRLS00110~~PDF~~MTR~~AGHS~~EN
C-048,1x TMB Substrate Solution,20 mL,,NR,L,0.0053,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/00-4201-56_MTR-NALT_EN.pdf
C-049,"2,2-Dimethoxy-2-phenyl-actophone",50g,24650-42-8,NR,S,0.1102,LB,1/1/0/-,"2,2-Dimethoxy-2-phenylacetophenone (DMPA)",,"[CAS 24650-42-8] Photoinitiator, GHS irritant only",https://www.fishersci.com/store/msds?partNumber=AC187840500&productDescription=2%2C2-DIMETHOXY-2-PHENYLAC+50GR&vendorId=VN00032119&countryCode=US&language=en
C-050,25-Hydroxyvitamin D3 (Calcifediol),100 µL,140710-94-7,NR,S,0,GA,1/1/0/-,25-Hydroxyvitamin D3,,"[CAS 140710-94-7] Vitamin metabolite, tiny qty",https://www.sigmaaldrich.com/US/en/sds/aldrich/705888?userType=anonymous
C-051,"3-(2-Pyridyl)-5,6-diphenyl-1,2,4-triazine-4',4''-disulfonic acid sodium salt",1g,69898-45-9,NR,S,0.0022,LB,1/1/0/-,Ferrozine disulfonate,,"[CAS 69898-45-9] Iron assay dye, not regulated",https://www.sigmaaldrich.com/US/en/sds/sial/p9762?userType=anonymous
C-052,"8 Arm PEG Amine, MW 40000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/8Arm-PEG-Biotin-SDS-NANOCS.pdf
C-053,8 Arm PEG- Biotin,1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/8Arm-PEG-Biotin-SDS-NANOCS.pdf
C-054,Acetylsalicylic acid,100g,50-78-2,NR,S,0.2205,LB,1/1/0/-,Acetylsalicylic Acid (aspirin),,[CAS 50-78-2] Not IFC hazmat at this quantity,https://www.fishersci.com/store/msds?partNumber=AC158185000&productDescription=ACETYLSALICYLIC+ACID+500GR&vendorId=VN00032119&countryCode=US&language=en
C-055,Ag/AgCl Reference Electrode Filling Soultion,2 oz,7732-18-5; 7447-40-7; 7761-88-8; 9002-93-1,NR,L,0.0156,GA,0/0/0/-; 0/0/0/-; 3/0/0/OX; 2/1/0/-,Water,,[CAS 7732-18-5] Water | [CAS 7447-40-7] Salt | [CAS 7761-88-8] Trace in electrode solution only | [CAS 9002-93-1] Surfactant,https://pim-resources.coleparmer.com/sds/05730-42-fill-solution-sds.pdf
C-056,Agarose,1g + 25g,9012-36-6,NR,S,0.0573,LB,0/1/0/-,Agarose,,[CAS 9012-36-6] Polysaccharide,https://www.sigmaaldrich.com/US/en/sds/sigma/a9539?userType=anonymous
C-057,"Agarose (Type IX, Ultra-low Gelatin Temperature)",25g,9012-36-6,NR,S,0.0551,LB,0/1/0/-,Agarose,,[CAS 9012-36-6] Polysaccharide,https://www.sigmaaldrich.com/US/en/sds/sial/a2576?userType=anonymous
C-058,Albumin Standard,20 mL (2 boxes × 10×1 mL),9048-46-8,NR,S,0.0053,GA,1/0/0/-,Bovine Serum Albumin,,[CAS 9048-46-8] Protein,https://www.fishersci.se/chemicalProductData_uk/wercs?itemCode=12877172&lang=EN
C-059,"Amino PEG, mPeg-NH2, MW 10 kD",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/mPEG-Amine-SDS-NANOCS.pdf
C-060,"Amino PEG, mPeg-NH2, MW 2000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/mPEG-Amine-SDS-NANOCS.pdf
C-061,"Amino PEG, mPeg-NH2, MW 5000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/mPEG-Amine-SDS-NANOCS.pdf
C-062,Ascorbic Acid 2 grams,2g,50-81-7,NR,S,0.0044,LB,1/1/0/-,Ascorbic Acid,,"[CAS 50-81-7] Vitamin C, not regulated",https://www.sigmaaldrich.com/US/en/sds/sial/phr1008?userType=anonymous
C-063,BSA Standard 2mg/ml,1 mL,9048-46-8,NR,L,0.0003,GA,1/0/0/-,Bovine Serum Albumin,,[CAS 9048-46-8] Protein,https://www.fishersci.se/chemicalProductData_uk/wercs?itemCode=12877172&lang=EN
C-064,Biotin 500 mg,500 mg,58-85-5,NR,S,0.0011,LB,0/1/0/-,Biotin (Vitamin H),,[CAS 58-85-5] Vitamin,https://www.fishersci.com/store/msds?partNumber=BP2321&productDescription=BIOTIN+1GR&vendorId=VN00033897&countryCode=US&language=en
C-065,"Biotin-PEG-Biotin, MW 2000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/Biotin-PEG-Biotin-SDS-NANOCS.pdf
C-066,Boric Acid,500g + 100g,10043-35-3,NR,S,1.3228,LB,1/0/0/-,Boric Acid,,"[CAS 10043-35-3] Reprotoxicant (GHS), not IFC-regulated class",https://www.fishersci.com/store/msds?partNumber=A741&productDescription=BORIC+ACID+POWDWR+ACS+1KG&vendorId=VN00033897&countryCode=US&language=en
C-067,Bovine Serum Albumin,500g,9048-46-8,NR,S,1.1023,LB,1/0/0/-,Bovine Serum Albumin,,[CAS 9048-46-8] Protein,https://www.sigmaaldrich.com/US/en/sds/sigma/a9418?userType=anonymous
C-068,Brij 35,950 mL,9002-92-0,NR,L,0.251,GA,0/1/0/-,Brij 35,,[CAS 9002-92-0] Surfactant,https://www.sigmaaldrich.com/US/en/sds/mm/8.01962?userType=anonymous
C-069,CAPS,25g,1135-40-6,NR,S,0.0551,LB,1/0/0/-,CAPS buffer,,[CAS 1135-40-6] Buffer,https://www.fishersci.com/store/msds?partNumber=BP321100&productDescription=CAPS+100G&vendorId=VN00033897&countryCode=US&language=en
C-070,CM lyophilized,,77107-46-1,NR,S,,,0/1/0/-,Carboxymethyl cellulose,,[CAS 77107-46-1] Thickener,https://www.sigmaaldrich.com/US/en/sds/sigma/c4874?userType=anonymous
C-071,Carbonate-Bicarbonate Buffer,50g,497-19-8,NR,L,0.1102,LB,2/0/0/-,Sodium Carbonate,,[CAS 497-19-8] Irritant only,https://www.sigmaaldrich.com/US/en/sds/sigma/c3041?srsltid=AfmBOorOeYA_oD4l7v0GJnVvTx6Gzn3CJmVK5dYNe_zLwbCoR-OVnu-S
C-072,Carbonate-Bicarbonate Buffer stock,,497-19-8,NR,L,,,2/0/0/-,Sodium Carbonate,,[CAS 497-19-8] Irritant only,https://www.sigmaaldrich.com/US/en/sds/sigma/c3041?userType=anonymous
C-073,Casein sodium salt from bovine milk,500g,9000-71-9,NR,S,1.1023,LB,0/1/0/-,Casein sodium salt,,[CAS 9000-71-9] Protein,https://www.sigmaaldrich.com/US/en/sds/sigma/c7078?userType=anonymous
C-074,Citric Acid,100g,77-92-9,NR,S,0.2205,LB,1/1/0/-,Citric Acid,,"[CAS 77-92-9] Weak organic acid, not IFC hazardous",https://www.sigmaaldrich.com/US/en/sds/sigald/27109?userType=anonymous
C-075,DI Water,500 mL ×4,7732-18-5,NR,L,0.5283,GA,0/0/0/-,Water,,[CAS 7732-18-5] Water,https://www.fishersci.com/store/msds?partNumber=S25293&productDescription=DEIONIZED+WATERTYPEII4L&vendorId=VN00115888&countryCode=US&language=en
C-076,DL-dithiothreitol,1g,7732-18-5; 3483-12-3,NR,L,0.0003,GA,0/0/0/-; 2/1/0/-,Water,,[CAS 7732-18-5] Water | [CAS 3483-12-3] Irritant only,https://www.fishersci.com/store/msds?partNumber=AC426380100&productDescription=DL-1%2C4-DITHIOTHREITOL%2C+1+10ML&vendorId=VN00032119&countryCode=US&language=en
C-077,Dopamine Hydrochloride (10 grams),10g,62-31-7,NR,S,0.022,LB,1/0/0/-,Dopamine Hydrochloride,,"[CAS 62-31-7] Catecholamine, not regulated",https://cdn.caymanchem.com/cdn/msds/21992m.pdf
C-078,EDTA,100g,60-00-4,NR,S,0.2205,LB,2/1/0/-,EDTA (free acid),,"[CAS 60-00-4] Chelator, not IFC hazmat",https://www.sigmaaldrich.com/US/en/sds/sial/e9884?userType=anonymous
C-079,EZ-link NHS-PEG4-Biotin,1g,,NR,S,0.0022,LB,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/21330_MTR-NALT_EN.pdf
C-080,"EZ-link NHS-PEG4-Biotin, No-Weigh Format",1g,,NR,S,0.0022,LB,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/21330_MTR-NALT_EN.pdf
C-081,EZ-link Plus activated peroxidase kit,10 mL,,NR,S,0.0026,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/21330_MTR-NALT_EN.pdf
C-082,Ethylenediaminetetraacetic acid,100g,60-00-4,NR,S,0.2205,LB,2/1/0/-,EDTA (free acid),,"[CAS 60-00-4] Chelator, not IFC hazmat",https://www.fishersci.com/store/msds?partNumber=BP118500&productDescription=EDTA+%28FREE+ACID%29+500G&vendorId=VN00033897&countryCode=US&language=en
C-083,Free  Bilirubbin 20 mg/ml,100 µL,635-65-4,NR,L,0,GA,1/0/0/-,Bilirubin,,[CAS 635-65-4] Clinical analyte,https://www.fishersci.com/store/msds?partNumber=AC230220050&productDescription=BILIRUBIN+5GR&vendorId=VN00032119&countryCode=US&language=en
C-084,Galactose 500 mg,500 mg,15572-79-9,NR,S,0.0011,LB,0/1/0/-,Galactose,,[CAS 15572-79-9] Sugar,https://www.fishersci.com/store/msds?partNumber=AAB21448ME&productDescription=L-%28-%29-GALACTOSE+98%25+500MG&vendorId=VN00024248&countryCode=US&language=en
